"REF_DATE","GEO","DGUID","Coordinate","Population and dwelling counts (11): Population, 2021 [1]","Symbols","Population and dwelling counts (11): Population, 2016 [2]","Symbols","Population and dwelling counts (11): Population percentage change, 2016 to 2021 [3]","Symbols","Population and dwelling counts (11): Total private dwellings, 2021 [4]","Symbols","Population and dwelling counts (11): Total private dwellings, 2016 [5]","Symbols","Population and dwelling counts (11): Total private dwellings percentage change, 2016 to 2021 [6]","Symbols","Population and dwelling counts (11): Private dwellings occupied by usual residents, 2021 [7]","Symbols","Population and dwelling counts (11): Private dwellings occupied by usual residents, 2016 [8]","Symbols","Population and dwelling counts (11): Private dwellings occupied by usual residents percentage change, 2016 to 2021 [9]","Symbols","Population and dwelling counts (11): Land area in square kilometres, 2021 [10]","Symbols","Population and dwelling counts (11): Population density per square kilometre, 2021 [11]","Symbols"
"2021","Canada","2021A000011124","1","36991981",,"35151728",,"5.2",,"16284235",,"15412443",,"5.7",,"14978941",,"14072079",,"6.4",,"8788702.80",,"4.2",
"2021","Newfoundland and Labrador","2021A000210","2","510550",,"519716",,"-1.8",,"269184",,"265739",,"1.3",,"223253",,"218673",,"2.1",,"358170.37",,"1.4",
"2021","Prince Edward Island","2021A000211","3","154331",,"142907",,"8.0",,"74934",,"71119",,"5.4",,"64570",,"59472",,"8.6",,"5681.18",,"27.2",
"2021","Nova Scotia","2021A000212","4","969383",,"923598",,"5.0",,"476007",,"458568",,"3.8",,"428228",,"401990",,"6.5",,"52824.71",,"18.4",
"2021","New Brunswick","2021A000213","5","775610",,"747101",,"3.8",,"366146",,"359721",,"1.8",,"337651",,"319773",,"5.6",,"71248.50",,"10.9",
"2021","Quebec","2021A000224","6","8501833",,"8164361",,"4.1",,"4050164",,"3858943",,"5.0",,"3749035",,"3531663",,"6.2",,"1298599.75",,"6.5",
"2021","Ontario","2021A000235","7","14223942",,"13448494",,"5.8",,"5929250",,"5598391",,"5.9",,"5491201",,"5169174",,"6.2",,"892411.76",,"15.9",
"2021","Manitoba","2021A000246","8","1342153",,"1278365",,"5.0",,"571528",,"539748",,"5.9",,"518054",,"489050",,"5.9",,"540310.19",,"2.5",
"2021","Saskatchewan","2021A000247","9","1132505",,"1098352",,"3.1",,"513725",,"495582",,"3.7",,"449581",,"432622",,"3.9",,"577060.40",,"2.0",
"2021","Alberta","2021A000248","10","4262635",,"4067175",,"4.8",,"1772670",,"1654129",,"7.2",,"1633220",,"1527678",,"6.9",,"634658.27",,"6.7",
"2021","British Columbia","2021A000259","11","5000879",,"4648055",,"7.6",,"2211694",,"2063417",,"7.2",,"2041834",,"1881969",,"8.5",,"920686.55",,"5.4",
"2021","Yukon","2021A000260","12","40232",,"35874",,"12.1",,"19610",,"17987",,"9.0",,"17181",,"15215",,"12.9",,"472345.44",,"0.1",
"2021","Northwest Territories","2021A000261","13","41070",,"41786",,"-1.7",,"17603",,"17666",,"-0.4",,"15207",,"14981",,"1.5",,"1127711.92",,"0.0",
"2021","Nunavut","2021A000262","14","36858",,"35944",,"2.5",,"11720",,"11433",,"2.5",,"9926",,"9819",,"1.1",,"1836993.78",,"0.0",


