Title,Keyword 1,Keyword 2,Keyword 3,Keyword 4,Keyword 5,Keyword 6,Keyword 7,Keyword 8,Keyword 9,Keyword 10,Keyword 11,Keyword 12
Feb/03,,,,,,,,,,,,
,,,,,,,,,,,,
Meta-Analyses of Financial Performance and Equity: Fusion or Confusion?,EQUITY,ORGANIZATIONAL sociology,PERFORMANCE,META-analysis,PSYCHOMETRICS,ORGANIZATIONAL research,FINANCIAL performance,AGENCY theory,ORGANIZATIONAL effectiveness,ORGANIZATIONAL behavior,CORPORATE governance,
"Home Country Environments, Corporate Diversification Strategies, and Firm Performance",DIVERSIFICATION in industry,BUSINESS planning,PERFORMANCE standards,EMPLOYEES -- Rating of,CORPORATE culture,STRATEGIC planning,ORGANIZATIONAL effectiveness,MANAGEMENT science,MANAGEMENT research,PRODUCT management,,
Safeguarding Investments in Asymmetric Interorganizational Relationships: Theory and Evidence,INTERORGANIZATIONAL relations,INTERGROUP relations,BUSINESS communication,INVESTMENTS,SUPPLY chains,KNOWLEDGE management,INTERORGANIZATIONAL networks,CORPORATE governance,GROUP decision making,INTELLECTUAL capital,,
Managerialist and Human Capital Explanations for Key Executive Pay Premiums: A Contingency Perspective,EXECUTIVE compensation,WAGES,HUMAN capital,LABOR economics,PERSONNEL management,MANAGEMENT science,CONTINGENCY theory (Management),COMPENSATION management,EXECUTIVE ability (Management),CORPORATE governance,,
"Bidding Wars Over R&D-Intensive Firms: Knowledge, Opportunism, and the Market for Corporate Control",KNOWLEDGE management,INFORMATION resources management,MANAGEMENT information systems,BREAK-even analysis,DATA mining,MANAGEMENT science,RESEARCH & development,RESEARCH & development contracts,CORPORATE governance,DECISION making,ORGANIZATIONAL behavior,TRANSACTION costs
When “The Show Must Go On”: Surface Acting and Deep Acting as Determinants of Emotional Exhaustion and Peer-Rated Service;Delivery,EMOTIONS (Psychology),INTERPERSONAL relations,STRESS (Psychology),SOCIAL interaction,SOCIAL psychology,EMPLOYEES -- Attitudes,CUSTOMER services,CUSTOMER satisfaction,JOB stress,PEER review (Professional performance),,
Relationships among Supervisors' and Subordinates' Procedural Justice Perceptions and Organizational Citizenship Behaviors,SUPERVISORS,JUSTICE,CONFLICT management,MEDIATION,EMPLOYEES,INDUSTRIAL relations,ORGANIZATIONAL behavior,UNITED States -- National Guard,ORGANIZATIONAL effectiveness,DECISION making,RESOURCE allocation,
Punctuated Equilibrium and Linear Progression: Toward a New Understanding of Group Development,INDUSTRIAL relations,MANAGEMENT science,DECISION theory,ORGANIZATIONAL sociology,PUNCTUATED equilibrium (Evolution),ORGANIZATIONAL change,ORGANIZATIONAL behavior,ORGANIZATIONAL structure,BUSINESS models,ORGANIZATIONAL research,,
,,,,,,,,,,,,
Apr/03,,,,,,,,,,,,
,,,,,,,,,,,,
The Relationship between Overconfidence and the Introduction of Risky Products: Evidence from a Field Study,DECISION making,EXECUTIVES,INDUSTRIAL management,NEW products,HIGH technology industries,,,,,,,
"Governance Through Ownership: Centuries of Practice, Decades of Research",CORPORATE governance,INDUSTRIAL management,STOCKHOLDERS wealth,INSTITUTIONAL investors,WAGES,NEW products,ORGANIZATIONAL structure,ORGANIZATIONAL behavior,DECENTRALIZATION in management,ORGANIZATIONAL effectiveness,,
Strategic Satisficing? A Behavioral-Agency Theory Perspective on Stock Repurchase Program Announcements,EXECUTIVES,STOCKHOLDERS wealth,STOCK repurchasing,CORPORATIONS -- Finance,INCENTIVES in industry,CORPORATE governance,STRATEGIC planning,EXECUTIVE ability (Management),AGENCY theory,ORGANIZATIONAL behavior,ORGANIZATIONAL effectiveness,
Exploring the Agency Consequences of Ownership Dispersion Among The Directors of Private Family Firms,FAMILY-owned business enterprises,DEBT,DIRECTORS of corporations,AGENCY theory,ORGANIZATIONAL behavior,ORGANIZATIONAL structure,EMPLOYEE ownership,CORPORATE governance,DECISION making,BOARDS of directors,INDUSTRIAL relations,
Institutional Ownership Differences and International Diversification: The Effects of Boards of Directors and Technological;Opportunity,INSTITUTIONAL investors,DIVERSIFICATION in industry,BUSINESS planning,GLOBALIZATION,BOARDS of directors,INTERNATIONAL business enterprises,FOREIGN investments,PENSION trusts,HIGH technology,STRATEGIC planning,TECHNOLOGICAL innovations,INNOVATION adoption
Ownership Structures and R&D Investments of U.S. and Japanese Firms: Agency and Stewardship Perspectives,RESEARCH & development,INVESTMENTS,PROPERTY,INCENTIVES in industry,AGENCY theory,ORGANIZATIONAL sociology,ORGANIZATIONAL structure,STEWARDS,,,,
The Determinants of Executive Compensation in Family-Controlled Public Corporations,FAMILY-owned business enterprises,CHIEF executive officers,EXECUTIVE compensation,BUSINESS enterprises,RISK,MUNICIPAL corporations,CORPORATE governance,RESEARCH & development,ORGANIZATIONAL behavior,ORGANIZATIONAL structure,,
